Question :What is the difference between concatenation vs. summation of two tensors?,Answer :Concatenation combines two tensors by adding them together along a specified dimension. Summation adds the elements of two tensors together element-wise.
Question :What is the difference between concatenation vs. summation of two tensors?,"Answer :Concatenation is often used to combine different features of a data set, such as images and text. Summation is often used to calculate the similarity between two tensors, or to compute the loss function for a neural network."
Question :Why are derivatives substracted from weights?,"Answer :The derivative of the loss function at a point indicates the direction of steepest descent from that point, substrating the derivative from the weights helps in finding the lowest point in the loss function."
Question :Why are derivatives substracted from weights?,Answer :The intuition behind adjusting the weights by subtracting the derivatives in the gradient descent method is to minimize the cost function. The gradient (or derivative) tells us the incline or slope of the cost function.
Question :Describe a process/pipeline for generating representations from pre trained models? ,"Answer :Select a pretrained model suitable for the task, remove the top layers, add task-specific layers, and fine-tune the model using labeled data to generate task-specific representations."
Question :Describe a process/pipeline for generating representations from pre trained models? ,"Answer :Load a pretrained model and remove its final classification layers.Pass input data through the model's feature extraction layers to obtain high-level representations, which can then be used as input features for downstream tasks or classifiers."
Question :Explain the differencr between Feedback & backpropogation?,"Answer :The term ""feedback"" is not standard in context of neural network training. Backpropagation is the standard technique used to calculate gradients and update the model's weights during the training process"
Question :Explain the differencr between Feedback & backpropogation?,"Answer :Feedback is a more general concept that includes various methods for providing information to a system, whereas backpropagation is a specific algorithm for updating weights in neural networks during training."
Question :what technique is  used for kernel transformation in Support Vector Machines (SVMs) ?,"Answer :Kernel transformation in SVMs uses a non-linear mapping, applied to the input features, to project the data into a higher-dimensional space for better separability."
Question :what technique is  used for kernel transformation in Support Vector Machines (SVMs) ?,Answer :Standardizing the data to have zero mean and unit variance.
"Question :In machine learning, when is a tanh kernel typically utilized?",Answer :The tanh kernel is commonly used in support vector machines (SVMs) when the data exhibits non-linear patterns and requires a more flexible decision boundary to capture complex relationships.
"Question :In machine learning, when is a tanh kernel typically utilized?","Answer :A tanh kernel is employed when working with neural networks or SVMs, as it can effectively model non-linear relationships in the data by transforming the features to a higher-dimensional space using the hyperbolic tangent function."
"Question :by adding layers, are we not creating overfitting ?","Answer :Adding layers alone does not necessarily create overfitting, but it can increase the risk of overfitting if the model becomes too complex for the given data."
"Question :by adding layers, are we not creating overfitting ?",Answer :Adding layers can increase the risk of overfitting if not balanced with regularization techniques and sufficient training data.Simply adding layers may not directly cause overfitting; it depends on the model's complexity and other factors like regularization and data size.
Question :is Auto Encoder useful for dimensionality reduction of a numerical data set?,"Answer :Yes, autoencoders can be used for dimensionality reduction of numerical datasets by learning a compressed representation of the data and reconstructing it with minimal loss of information"
Question :is Auto Encoder useful for dimensionality reduction of a numerical data set?,"Answer :Yes, autoencoders can be used for dimensionality reduction of numerical datasets by learning a compressed representation of the data while preserving important features."
Question :What is the function squeeze mean in Pytorch and tensor flow?,"Answer :In PyTorch and TensorFlow, the ""squeeze"" function removes dimensions with size 1 from a tensor, reducing its rank and saving memory."
Question :What is the function squeeze mean in Pytorch and tensor flow?,"Answer :In both PyTorch and TensorFlow, the squeeze function removes dimensions of size 1 from the tensor, reducing its rank and eliminating single-dimensional entries."
Question :Which mathematical expression can be used in deduction of maxpool layers?,Answer :A series of Convolution and MaxPool layers can capture local patterns and features in the data.  it's not accurate to say they can implement any mathematical expression or equation.
Question :Which mathematical expression can be used in deduction of maxpool layers?,Answer :Maxpool layers perform down-sampling by selecting the maximum value from a local region. The mathematical expression used is output = max(inputs within the pooling region).
Question :What is the intuition of adjusting the weight by subtracting the derivatives?,"Answer :Adjusting weights by subtracting derivatives in gradient descent aims to find the steepest descent direction, minimizing the loss and iteratively refining model parameters for convergence."
Question :What is the intuition of adjusting the weight by subtracting the derivatives?,"Answer :Adjusting weights by subtracting the derivatives during backpropagation helps find the direction in which the loss decreases, iteratively updating weights towards the optimal values for better model performance and convergence."
Question :Can we generate a sentence by using all the n-grams upto the length of sentence?,"Answer :Yes, it is possible but computationally more intensive. Always recommended to use a single n value by experimenting with different n-values. To get a better context we need higher values of n."
Question :Can we generate a sentence by using all the n-grams upto the length of sentence?,"Answer :Yes, it is possible to generate a sentence by using all the n-grams. However, generating a sentence in this way can result in a very large number of combinations, making it computationally expensive."
Question :What does DNN stand for in the context of machine learning?,"Answer :DNN stands for Deep Neural Network, a type of artificial neural network with multiple hidden layers that can learn complex representations and patterns from data."
Question :What does DNN stand for in the context of machine learning?,"Answer :DNN refers to Deep Neural Network, which is a neural network architecture composed of multiple layers, enabling the model to learn hierarchical representations of data."
Question :How do filters operate in text processing since text is not comprised of numbers? Is text treated as an image with extracted pixels? Maintain the context in the rephrased question.,"Answer :Text filters are used to analyze characters or words directly in text processing, unlike images, where pixels are not extracted."
Question :How do filters operate in text processing since text is not comprised of numbers? Is text treated as an image with extracted pixels? Maintain the context in the rephrased question.,"Answer :Text filters operate on characters or words in text processing, unlike image processing, where pixels are analyzed using filters."
Question :what are the factors that influence on overfitting in neural networks?,"Answer :Factors that influence overfitting in neural networks include excessive model complexity, insufficient training data, lack of regularization techniques, and improper hyperparameter settings."
Question :what are the factors that influence on overfitting in neural networks?,"Answer :Adding layers to a neural network can potentially increase its capacity and complexity, which may lead to overfitting if the model becomes too specialized to the training data without generalizing well to unseen data."
Question :What ML models can be used for fraud detection application where it is difficult to get labelled data and the number pf true positives are very low. ,Answer :unsupervised or semi-supervised learning approaches can be effective for fruad detection applications
Question :What ML models can be used for fraud detection application where it is difficult to get labelled data and the number pf true positives are very low. ,"Answer :Unsupervised Learning, Semi-Supervised Learning , Self-Supervised Learning, Rule-based Systems and Expert-driven Rules can be explored ."
